date,ticker,gap_pct
2024-01-02,SNGX,34.210525490240364
2024-01-02,EVAX,19.387759981911884
2024-01-02,SNES,18.110237994310243
2024-01-02,DSS,16.666660043928598
2024-01-02,ANY,15.36144083410422
2024-01-02,TCRT,14.285714285714285
2024-01-02,SLAI,13.29365240803713
2024-01-02,IINN,13.207557779396224
2024-01-02,PMN,13.043478260869565
2024-01-02,IHT,13.017743631609708
2024-01-02,XLO,12.90908698799205
2024-01-02,BTCS,12.26994006066819
2024-01-02,RPID,12.162158461362498
2024-01-02,GREE,11.922506500548256
2024-01-02,PMEC,11.666665010982134
2024-01-02,STKE,11.111115199221167
2024-01-02,PRHI,10.909091106131052
2024-01-02,NXGL,10.328628092557446
2024-01-02,FLYX,10.000003467906604
2024-01-02,NBY,9.9999971362192
2024-01-03,ABVC,80.83333250549107
2024-01-03,NTRP,61.72413458580361
2024-01-03,GRDX,34.29319626609045
2024-01-03,SLMT,31.01449038996917
2024-01-03,SBLX,16.860462617977344
2024-01-03,IFBD,16.66666810639239
2024-01-03,ELTX,15.682973559821074
2024-01-03,UK,13.580239209764306
2024-01-03,MDAI,13.438731937318718
2024-01-03,HLP,13.133633059536525
2024-01-03,NEPH,12.827982805780684
2024-01-03,AACG,12.371134147315628
2024-01-03,DFDV,11.442823764244032
2024-01-03,BMR,11.111114054550438
2024-01-03,FEAM,11.111112390867348
2024-01-03,MOBX,10.740739138201622
2024-01-03,CALC,10.277326307984524
2024-01-03,DTCX,9.833335876464844
2024-01-03,PPCB,9.166666537316448
2024-01-03,HTOO,8.653839503116838
2024-01-04,FIEE,198.83041049822504
2024-01-04,SSM,61.290319272721824
2024-01-04,STKE,42.85714437766951
2024-01-04,ZBAI,19.85018622543919
2024-01-04,AREN,19.138761329873795
2024-01-04,DSS,18.26087326093077
2024-01-04,RPID,16.666664459087173
2024-01-04,ACET,13.636364252114102
2024-01-04,INO,13.461541400623616
2024-01-04,MGLD,12.371134147315628
2024-01-04,ARTL,12.230209657404515
2024-01-04,JCSE,11.898018163782185
2024-01-04,HURA,11.347516702586468
2024-01-04,ETHZ,10.439019249676974
2024-01-04,KROS,9.76733581661568
2024-01-04,AACG,9.61538726056128
2024-01-04,IMCC,9.03426301518173
2024-01-04,LSTA,8.928571580624096
2024-01-04,IH,8.802809876006103
2024-01-04,MOBX,8.783783348395573
2024-01-05,AIMD,133.81504362315994
2024-01-05,RENX,43.38234882659984
2024-01-05,PYPD,26.315781925806863
2024-01-05,IMUX,18.8811265761782
2024-01-05,SOWG,17.142857142857142
2024-01-05,INBS,17.056852702614055
2024-01-05,CYCN,15.591402087739189
2024-01-05,VGAS,14.22593720693345
2024-01-05,DUOT,13.58023920976428
2024-01-05,ELTX,12.794853403417603
2024-01-05,PRHI,12.500006984919466
2024-01-05,KINS,11.466651022516723
2024-01-05,LXEH,10.833334922790527
2024-01-05,AURE,10.34482985416019
2024-01-05,BMR,9.46745332568513
2024-01-05,BIAF,8.904113227881048
2024-01-05,BTCS,8.715587084869508
2024-01-05,ALTS,8.620691958562439
2024-01-05,NEUP,8.461536298371906
2024-01-05,NTRB,8.29874697685747
2024-01-08,STKE,42.85714437766951
2024-01-08,BESS,42.857140076751314
2024-01-08,DOGZ,29.908673711227863
2024-01-08,AEC,20.0
2024-01-08,ATON,18.348624495361907
2024-01-08,TCRT,15.384615384615383
2024-01-08,ADXN,13.48233526307419
2024-01-08,SNES,12.5
2024-01-08,BLNK,12.05674328498706
2024-01-08,LFMD,11.926607671846432
2024-01-08,RXST,11.81892296689765
2024-01-08,SLDB,11.754061371957889
2024-01-08,SNGX,11.111107840623054
2024-01-08,HRTX,10.73446662530487
2024-01-08,ZCMD,9.99999727521624
2024-01-08,IVDA,9.677419664956526
2024-01-08,HERE,9.46745091343074
2024-01-08,TII,8.333336618421843
2024-01-08,KSCP,8.281254768371582
2024-01-08,ADAG,8.018871956170587
2024-01-09,SNTG,113.61502095173113
2024-01-09,BTBD,55.50870413215101
2024-01-09,MCRB,26.923068928765765
2024-01-09,AEC,20.0
2024-01-09,MPU,19.87179957433115
2024-01-09,OPRX,17.290422746846204
2024-01-09,DFNS,15.88604444370766
2024-01-09,ZKIN,15.749998155981316
2024-01-09,TSSI,15.384624201870857
2024-01-09,CVV,14.159289141289069
2024-01-09,JWEL,12.305211150021211
2024-01-09,TARA,12.272726139746426
2024-01-09,ARBB,12.08053158616219
2024-01-09,NBY,11.111114325231132
2024-01-09,CLPT,10.935024777773856
2024-01-09,PMN,10.20408163265306
2024-01-09,DTIL,10.0502579992631
2024-01-09,DFDV,10.000032335525091
2024-01-09,AMS,9.961685858754068
2024-01-09,CVKD,9.938831662491465
2024-01-10,NVNI,36.64596291687713
2024-01-10,ZJYL,22.446501774069866
2024-01-10,LUCY,17.050685370988088
2024-01-10,RBOT,16.399993896484375
2024-01-10,AMRN,15.463917829846208
2024-01-10,TSSI,12.903223015391266
2024-01-10,EM,12.765948430269995
2024-01-10,AENT,11.886797502992582
2024-01-10,KGEI,11.680914157967717
2024-01-10,BYSI,11.148645927472426
2024-01-10,SNOA,11.111114054550438
2024-01-10,TROO,10.077519308209066
2024-01-10,MYNZ,9.090911061310528
2024-01-10,SOWG,9.04255093169352
2024-01-10,GNTA,9.032961707777016
2024-01-10,KORE,8.87184507983967
2024-01-10,MDWD,8.646917081643547
2024-01-10,TRIB,8.163267093517028
2024-01-10,STXS,7.471264052822621
2024-01-10,ULH,7.240147546097356
2024-01-11,MRT,21.165645601940625
2024-01-11,TTGT,18.88290263956065
2024-01-11,ANGH,18.34862449536191
2024-01-11,BTM,14.393938924796194
2024-01-11,ATON,14.285717934978296
2024-01-11,CAN,14.0186886733689
2024-01-11,SAIH,12.499992358379048
2024-01-11,TURB,12.264162401747924
2024-01-11,SGMT,12.237091092763972
2024-01-11,EBON,11.74055267382712
2024-01-11,MPU,11.415524815889691
2024-01-11,PRHI,11.19999885559082
2024-01-11,UEIC,10.969974896119975
2024-01-11,ABTS,10.769239233796018
2024-01-11,SLAI,10.65573706418013
2024-01-11,ANY,10.545453158291917
2024-01-11,GREE,10.434780950131625
